front,hl,word,meaning,sentence,analogy
"陈","陈","陈","陈列。左传隐公五年：\""～鱼而观之。","陈鱼而观之。","王力《古代汉语》"
"故","故","故","原因。左传隐公元年：\""公语之～。","公语之故。","王力《古代汉语》"
"穷","穷","穷","阻塞不通。跟\""通\""或\""达\""相对。","夫处穷闾厄巷。","王力《古代汉语》"
"难","难","难","不容易，困难。跟\""易\""相对。","易","王力《古代汉语》"
"夷","夷","夷","平，平坦。老子五十三章：\""大道甚～，而民好径。","塞井夷灶，陈於军中。","王力《古代汉语》"
"平","平","平","平坦。汉书李广传：\""尚四五十里，得～地。","尚四五十里，得平地。","王力《古代汉语》"
"庸","庸","庸","用。一般只见於\""无～\""这种固定形式。","无庸","王力《古代汉语》"
"已","已","已","动词，停止。论语泰伯：\""死而后～。","必不得已而去，於斯三者何先？","王力《古代汉语》"
"必","必","必","必","必有一死罪矣。","王力《古代汉语》"
"一","一","一","基数。左传隐公元年：\""大都不过参国之～。","大都不过参国之一。","王力《古代汉语》"
"参","参","参","读sān。三分。","大都不过参国之一。","王力《古代汉语》"
"什","什","什","作为一个单位的十。军队中十人为\""什\""。","亦各置千长，百长，什长。","王力《古代汉语》"
"伯","伯","伯","长（zhǎng），大的。孟子告子上：\""乡人长於～兄一岁，则谁敬？","乡人长於伯兄一岁，则谁敬？","王力《古代汉语》"
"晦","晦","晦","阴历每月的最后一天。庄子逍遥游：\""朝菌不如～朔。","朝菌不如晦朔。","王力《古代汉语》"
"朔","朔","朔","阴历每月的初一。论语八佾：\""子贡欲去告～之饩羊。","子贡欲去告朔之饩羊。","王力《古代汉语》"
"时","时","时","季节（指春，夏，秋，冬）。论语阳货：\""天何言哉？","天何言哉？四时行焉，百物生焉！","王力《古代汉语》"
"世","世","世","三十年为一世。论语子路：\""如有王者，必～而后仁。","君子疾没世而名不称焉。","王力《古代汉语》"
"期","期","期","一定的时间，期限。诗经王风君子于役：\""君子于役，不知其～。","君子于役，不知其期。","王力《古代汉语》"
"官","官","官","行政机关（指处所）。论语子张：\""不见宗庙之美，百～之富。","不见宗庙之美，百官之富。","王力《古代汉语》"
"爵","爵","爵","古代酒器之一种。左传庄公二十三年：\""虢公请器，王与之～。","虢公请器，王与之爵。","王力《古代汉语》"
"权","权","权","秤，秤锤。庄子胠箧：\""为之～衡以称之。","为之权衡以称之。","王力《古代汉语》"
"衡","衡","衡","驾车用的工具，轭上的横木。庄子马蹄：\""夫加之以～扼。","欲以区区之越与天子抗衡为敌国。","王力《古代汉语》"
